AGEB,cluster
0010,1
0011,3
0012,0
0013,1
0014,1
0017,1
0018,3
0019,1
001A,1
0020,1
0021,1
0022,3
0023,1
0024,1
0025,1
0026,1
0027,1
0028,1
0029,3
002A,1
0030,3
0031,1
0032,3
0033,3
0036,1
0037,3
0038,1
0039,1
003A,1
0040,1
0041,3
0042,1
0043,1
0044,1
0045,3
0046,1
0047,1
0048,3
0049,3
004A,1
0050,0
0051,1
0052,3
0053,1
0054,1
0055,3
0056,3
0058,1
005A,3
0060,3
0061,3
0064,3
0065,0
0066,1
0067,1
0069,3
006A,1
0070,1
0071,3
0072,1
0073,3
0074,1
0075,3
0076,1
0077,1
0079,3
0080,1
0081,3
0083,3
0084,0
0085,1
0086,3
0088,3
0089,1
008A,3
0090,0
0091,1
0092,3
0093,3
0094,3
0095,1
0096,1
0097,1
0098,3
0099,1
009A,1
0100,3
0101,0
0102,1
0103,1
0104,3
0105,1
0106,3
0107,3
0108,1
0109,1
010A,1
0110,3
0111,3
0112,1
0113,1
0114,1
0115,3
0116,1
0117,1
0118,3
0119,1
011A,1
0121,1
0122,3
0123,1
0124,1
0125,1
0126,3
0127,1
0128,1
0129,3
012A,1
0130,3
0131,1
0132,1
0133,1
0134,3
0135,3
0137,1
0138,0
0139,1
013A,1
0141,1
0143,1
0144,1
0145,3
0146,1
0147,1
0148,3
0149,3
014A,1
0150,1
0151,0
0153,3
0155,1
0156,1
0158,3
0159,1
015A,3
0160,3
0162,3
0163,1
0164,3
0165,1
0166,0
0167,1
0168,3
0169,0
016A,1
0170,0
0171,1
0172,3
0173,1
0174,1
0175,3
0176,3
0177,3
0178,1
0179,3
017A,1
0180,3
0181,3
0182,1
0183,3
0184,1
0185,1
0186,1
0187,3
0188,1
0189,1
018A,1
0190,1
0191,1
0192,1
0193,1
0194,3
0195,3
0197,3
0198,3
0199,3
019A,1
0200,3
0201,1
0202,1
0203,1
0204,3
0205,0
0206,1
0207,1
0208,0
0209,3
020A,3
0210,0
0211,1
0212,1
0213,1
0214,1
0215,3
0216,3
0217,1
0218,1
0219,3
021A,3
0220,1
0221,1
0222,1
0223,0
0224,1
0225,0
0226,1
0227,0
0229,3
022A,1
0230,1
0231,0
0232,3
0233,3
0234,3
0235,1
0236,3
0237,1
0238,3
0239,3
023A,1
0240,1
0242,1
0243,0
0244,1
0245,1
0246,1
0247,1
0248,1
0249,3
024A,3
0250,1
0251,1
0252,1
0254,1
0255,1
0256,1
0257,3
0258,0
0259,1
025A,1
0260,1
0261,3
0262,0
0263,1
0264,1
0267,3
0268,3
0269,3
026A,1
0270,1
0271,1
0272,3
0273,3
0274,1
0275,1
0276,3
0277,3
0278,1
0279,0
027A,1
0280,3
0281,3
0282,1
0283,1
0285,3
0286,1
0287,3
0288,3
0289,1
028A,3
0290,1
0291,3
0292,1
0293,1
0294,1
0295,3
0296,3
0297,0
0298,1
0299,1
029A,3
0300,1
0301,3
0303,1
0304,3
0305,1
0306,1
0307,1
0308,1
0309,1
030A,1
0310,1
0311,1
0312,0
0313,1
0314,1
0315,3
0316,0
0317,3
0318,1
0319,3
031A,1
0320,0
0321,3
0322,1
0323,3
0324,3
0325,1
0326,3
0327,1
0328,1
0329,1
032A,1
0330,1
0331,1
0332,1
0333,1
0334,1
0336,3
0337,0
0339,0
033A,1
0340,1
0341,3
0342,3
0343,0
0344,1
0345,1
0346,1
0347,0
0348,0
0349,1
034A,1
0350,1
0351,0
0352,1
0353,1
0354,1
0356,1
0357,0
0358,0
0359,1
035A,3
0360,1
0361,3
0362,1
0363,1
0364,1
0365,0
0366,3
0367,0
0368,2
0369,3
036A,1
0370,1
0371,0
0372,1
0373,1
0374,1
0375,1
0376,3
0377,1
0378,1
0379,1
037A,1
0380,3
0381,3
0382,1
0383,1
0384,1
0385,0
0386,1
0387,1
0388,0
0389,1
038A,1
0390,1
0391,3
0392,0
0393,1
0394,3
0395,3
0396,1
0397,1
0398,1
0399,3
039A,3
0400,1
0401,1
0402,1
0403,1
0404,1
0405,1
0407,0
0408,3
0409,3
040A,1
0410,3
0411,1
0412,3
0413,3
0414,1
0415,1
0416,3
0417,1
0418,1
0419,1
041A,3
0420,3
0421,1
0422,1
0423,1
0425,3
0426,1
0427,3
0428,3
0429,1
0430,3
0431,1
0432,1
0433,1
0434,3
0435,3
0436,1
0437,1
0438,0
043A,3
0440,1
0441,3
0442,1
0444,3
0445,1
0446,3
0447,1
0448,1
0449,3
044A,3
0450,3
0451,3
0452,1
0454,1
0455,1
0456,1
0457,2
0459,3
045A,3
0460,1
0461,0
0463,1
0464,1
0465,3
0466,1
